,koi_disposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,ra,dec
0,1,1.0,0.146,0.318,-0.146,1.0,0.30960344003822265,0.686046511627907,0.5442043359254765,0.7403165887028558
1,1,0.9875,0.586,0.059,-0.443,2.0,0.30960344003822265,0.686046511627907,0.5442043359254765,0.7403165887028558
4,1,1.0,0.701,0.235,-0.478,1.0,0.6459627329192547,0.1821705426356589,0.39612999858881537,0.7457292111388796
5,1,1.0,0.538,0.03,-0.428,1.0,0.7224080267558528,0.10077519379844957,0.7468887552738988,0.7456312642403109
6,1,1.0,0.762,0.139,-0.532,2.0,0.7224080267558528,0.10077519379844957,0.7468887552738988,0.7456312642403109
7,1,0.992,0.755,0.212,-0.523,3.0,0.7224080267558528,0.10077519379844957,0.7468887552738988,0.7456312642403109
9,1,1.0,0.052,0.262,-0.052,1.0,0.2866698518872432,0.6782945736434108,0.3143743907567824,0.7553056010453814
10,1,0.9875,0.818,0.001,-0.001,1.0,0.2981366459627329,0.6976744186046512,0.3054783336461533,0.8155211136703202
12,1,0.998,0.631,0.007,-0.007,1.0,0.4280936454849498,0.46899224806201556,0.04837478477093349,0.3760200001165117
13,1,1.0,0.051,0.395,-0.051,2.0,0.4013377926421404,0.5465116279069768,0.7172016984524934,0.7629729866934976
18,1,1.0,0.387,0.004,-0.386,1.0,0.500716674629718,0.43410852713178294,0.3674107448497548,0.713608325972912
19,1,1.0,0.258,0.196,-0.258,1.0,0.4701385570950788,0.5232558139534884,0.16121186830239864,0.7224953105521648
21,1,1.0,0.092,0.369,-0.092,1.0,0.3248924988055423,0.7015503875968992,0.5647852879027884,0.7236296380657241
22,1,0.9875,0.226,0.243,-0.226,2.0,0.3248924988055423,0.7015503875968992,0.5647852879027884,0.7236296380657241
23,1,0.9875,0.025,0.425,-0.025,3.0,0.3248924988055423,0.7015503875968992,0.5647852879027884,0.7236296380657241
25,1,1.0,0.896,0.01,-0.663,1.0,0.3019589106545628,0.6937984496124031,0.4757823346596002,0.7267147093003268
26,1,1.0,0.71,0.006,-0.533,1.0,0.6688963210702341,0.38372093023255816,0.817780098186839,0.7278344408054718
27,1,1.0,0.424,0.112,-0.356,1.0,0.5809842331581462,0.3449612403100776,0.6527948224863778,0.8153733610939167
31,1,1.0,0.468,0.461,-0.267,1.0,0.31342570473005255,0.7131782945736433,0.5343209147462353,0.8260500851785917
32,1,0.992,0.045,0.337,-0.045,2.0,0.2866698518872432,0.6782945736434108,0.3143743907567824,0.7553056010453814
33,1,1.0,0.105,0.329,-0.105,3.0,0.2866698518872432,0.6782945736434108,0.3143743907567824,0.7553056010453814
34,1,1.0,0.799,0.097,-0.551,1.0,0.6268514094601051,0.42248062015503873,0.7813300632332165,0.7618864803127692
35,1,1.0,0.021,0.402,-0.021,1.0,0.5809842331581462,0.41085271317829464,0.25471617707536254,0.7636323037577872
36,1,0.9875,0.606,0.335,-0.4,2.0,0.5809842331581462,0.41085271317829464,0.25471617707536254,0.7636323037577872
39,1,1.0,0.312,0.154,-0.312,1.0,0.7224080267558528,0.18604651162790697,0.8479873840953349,0.7819242391622558
41,1,1.0,0.787,0.005,-0.565,1.0,0.39751552795031053,0.5542635658914729,0.3557249185075353,0.6208975533696965
42,1,0.998,0.355,0.04,-0.355,1.0,0.6880076445293837,0.3643410852713178,0.7128395985154157,0.7963762080197512
43,1,1.0,0.023,0.423,-0.023,1.0,0.5809842331581462,0.41085271317829464,0.2445025478184597,0.8130213551766441
44,1,1.0,0.597,0.235,-0.367,1.0,0.6612517916865742,0.0736434108527132,0.5442942233147381,0.8115251362790254
45,1,1.0,0.105,0.264,-0.119,1.0,0.28284758719541325,0.6782945736434108,0.7808568736607135,0.8096884078693223
47,1,1.0,0.151,0.304,-0.151,1.0,0.6000955566172957,0.2558139534883721,0.5296817008370702,0.898861825029837
48,1,1.0,0.405,0.041,-0.405,1.0,0.294314381270903,0.7015503875968992,0.7250004773812151,0.9310945489093996
49,1,1.0,0.911,0.009,-0.656,2.0,0.294314381270903,0.7015503875968992,0.7250004773812151,0.9310945489093996
50,1,1.0,0.602,0.25,-0.396,1.0,0.588628762541806,0.4031007751937985,0.4261626328342345,0.9393260574792093
51,1,1.0,0.866,0.015,-0.621,1.0,0.4013377926421404,0.5465116279069768,0.960096519495087,0.4967873097181439
52,1,1.0,0.898,0.013,-0.699,2.0,0.39751552795031053,0.5542635658914729,0.3557249185075353,0.6208975533696965
54,1,1.0,0.001,0.437,-0.001,2.0,0.31342570473005255,0.6821705426356589,0.30219814254463273,0.8577311695647101
55,1,1.0,0.041,0.409,-0.041,1.0,0.31342570473005255,0.6821705426356589,0.30219814254463273,0.8577311695647101
56,1,1.0,0.028,0.437,-0.028,3.0,0.31342570473005255,0.6821705426356589,0.30219814254463273,0.8577311695647101
57,1,1.0,0.558,0.13,-0.149,1.0,0.6344959388437649,0.42248062015503873,0.4907148189840296,0.8627481633516121
59,1,1.0,0.915,0.009,-0.63,1.0,0.31342570473005255,0.6472868217054264,0.22945782069189136,0.8688745818131558
61,1,1.0,0.28,0.189,-0.28,1.0,0.3019589106545628,0.6937984496124031,0.6326516640111848,0.8740300456272503
64,1,1.0,0.679,0.187,-0.47,1.0,0.27902532250358336,0.6472868217054264,0.7438996502775108,0.8776707254453044
65,1,1.0,0.39,0.065,-0.306,1.0,0.6192068800764453,0.3023255813953488,0.4586864984018213,0.8798722260302014
66,1,1.0,0.547,0.052,-0.229,1.0,0.6268514094601051,0.3023255813953488,0.7081933985397271,0.8909441306409329
67,1,1.0,0.031,0.36,-0.031,1.0,0.30960344003822265,0.686046511627907,0.6391743214550036,0.8933351872824722
68,1,1.0,0.628,0.003,-0.478,2.0,0.30960344003822265,0.686046511627907,0.6391743214550036,0.8933351872824722
69,1,1.0,0.883,0.033,-0.64,1.0,0.6344959388437649,0.3565891472868217,0.7345560191716292,0.8956314979044802
70,1,0.998,0.852,0.039,-0.585,2.0,0.4013377926421404,0.5465116279069768,0.960096519495087,0.4967873097181439
73,1,1.0,0.023,0.405,-0.023,1.0,0.6650740563784042,0.0736434108527132,0.5311310767717483,0.12273949921223126
74,1,1.0,0.012,0.394,-0.012,2.0,0.6650740563784042,0.0736434108527132,0.5311310767717483,0.12273949921223126
76,1,1.0,0.022,0.378,-0.022,1.0,0.6077400860009555,0.38372093023255816,0.7506328211925588,0.943756010050504
77,1,0.989,0.094,0.359,-0.094,2.0,0.6077400860009555,0.38372093023255816,0.7506328211925588,0.943756010050504
78,1,1.0,0.55,0.065,-0.128,1.0,0.5962732919254659,0.3294573643410853,0.41277220626035493,0.9705065243837523
81,1,1.0,0.238,0.198,-0.238,1.0,0.31342570473005255,0.7131782945736433,0.5211847809938011,0.08503314414217655
82,1,1.0,0.838,0.083,-0.589,1.0,0.6344959388437649,0.3565891472868217,0.49466287804516895,0.10858962931836169
85,1,1.0,0.556,0.323,-0.368,2.0,0.26755852842809363,0.6666666666666667,0.27151021525934027,0.17290758057140643
86,1,1.0,0.013,0.415,-0.013,3.0,0.26755852842809363,0.6666666666666667,0.27151021525934027,0.17290758057140643
87,1,0.9875,0.95,0.004,-0.66,3.5,0.4013377926421404,0.5465116279069768,0.960096519495087,0.4967873097181439
88,1,0.994,0.708,0.234,-0.487,3.5,0.26755852842809363,0.6666666666666667,0.27151021525934027,0.17290758057140643
89,1,1.0,0.524,0.069,-0.237,1.0,0.6383182035355948,0.3527131782945736,0.6709320483938797,0.1748307327151406
90,1,0.999,0.4,0.066,-0.4,1.0,0.6115623506927854,0.3798449612403101,0.6735117698920092,0.18849074008100386
91,1,1.0,0.076,0.022,-0.076,1.0,0.31724796942188244,0.7131782945736433,0.6344498775342533,0.11814815831983028
96,1,1.0,0.379,0.073,-0.273,2.0,0.3745819397993311,0.5348837209302326,0.2344607757980306,0.15171526465283947
97,1,0.9875,0.646,0.323,-0.43,3.0,0.4013377926421404,0.5465116279069768,0.960096519495087,0.4967873097181439
98,1,0.9875,0.224,0.067,-0.146,1.0,0.3745819397993311,0.5348837209302326,0.2344607757980306,0.15171526465283947
99,1,1.0,0.3619,0.0945,-0.3618,1.0,0.37840420449116097,0.5658914728682171,0.2344607757980306,0.15171526465283947
102,1,1.0,0.514,0.022,-0.037,1.0,0.6115623506927854,0.31007751937984496,0.2312089947003706,0.15684947463012078
104,1,1.0,0.26,0.151,-0.26,1.0,0.5656951743908265,0.4263565891472868,0.4222369291859689,0.1649026942375018
105,1,1.0,0.466,0.002,-0.437,1.0,0.26755852842809363,0.6666666666666667,0.27151021525934027,0.17290758057140643
